# Nixlytile Video Player Debug Log
# File: http://aceclan.no:8080/stream/815
# Video: 3840x2160 @ 23.976 fps, HW=1
# Display: 0.00 Hz, frame_interval=41708332 ns, pacing_mode=0
# Subtitles: 16 track(s), selected=14, codec_ctx=0x55c6805a9f80, ass_track=0x55c681318220, ass_renderer=0x55c6805ae850
#   sub[0]: stream=4 codec=hdmv_pgs_subtitle text=0 "English (Forced)" [eng]
#   sub[1]: stream=5 codec=hdmv_pgs_subtitle text=0 "English (SDH)" [eng]
#   sub[2]: stream=6 codec=hdmv_pgs_subtitle text=0 "Chinese (Traditional)" [chi]
#   sub[3]: stream=7 codec=hdmv_pgs_subtitle text=0 "Czech" [cze]
#   sub[4]: stream=8 codec=hdmv_pgs_subtitle text=0 "Danish" [dan]
#   sub[5]: stream=9 codec=hdmv_pgs_subtitle text=0 "Dutch" [dut]
#   sub[6]: stream=10 codec=hdmv_pgs_subtitle text=0 "Finnish" [fin]
#   sub[7]: stream=11 codec=hdmv_pgs_subtitle text=0 "French" [fre]
#   sub[8]: stream=12 codec=hdmv_pgs_subtitle text=0 "German" [ger]
#   sub[9]: stream=13 codec=hdmv_pgs_subtitle text=0 "Greek" [gre]
#   sub[10]: stream=14 codec=hdmv_pgs_subtitle text=0 "Hebrew" [heb]
#   sub[11]: stream=15 codec=hdmv_pgs_subtitle text=0 "Hungarian" [hun]
#   sub[12]: stream=16 codec=hdmv_pgs_subtitle text=0 "Italian" [ita]
#   sub[13]: stream=17 codec=hdmv_pgs_subtitle text=0 "Korean" [kor]
#   sub[14]: stream=18 codec=hdmv_pgs_subtitle text=0 "Norwegian" [nor] <-- ACTIVE
#   sub[15]: stream=19 codec=hdmv_pgs_subtitle text=0 "Polish" [pol]
# frame | state  | q=queued | avsync | pos_ms | v=vsyncs | dt=actual/expected us
# Display updated: 300.18 Hz, frame_interval=41708332 ns, pacing_mode=3
     0 | BUFFER |  0/48 | audio=1280/768000 | slow=0
     1 | BUFFER |  0/48 | audio=1280/768000 | slow=0
     2 | BUFFER |  0/48 | audio=1280/768000 | slow=0
     3 | BUFFER |  0/48 | audio=1280/768000 | slow=0
     4 | BUFFER |  0/48 | audio=180480/768000 | slow=0
     5 | BUFFER |  0/48 | audio=514560/768000 | slow=0
     6 | BUFFER |  0/48 | audio=514560/768000 | slow=0
     7 | BUFFER |  0/48 | audio=514560/768000 | slow=0
     8 | BUFFER |  0/48 | audio=514560/768000 | slow=0
     9 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    10 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    11 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    12 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    13 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    14 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    15 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    16 | BUFFER |  0/48 | audio=514560/768000 | slow=0
    17 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    18 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    19 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    20 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    21 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    22 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    23 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    24 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    25 | BUFFER |  1/48 | audio=514560/768000 | slow=0
    26 | BUFFER |  2/48 | audio=514560/768000 | slow=0
    27 | BUFFER |  2/48 | audio=514560/768000 | slow=0
    28 | BUFFER |  2/48 | audio=514560/768000 | slow=0
    29 | BUFFER |  2/48 | audio=514560/768000 | slow=0
    30 | BUFFER |  2/48 | audio=514560/768000 | slow=0
    31 | BUFFER |  3/48 | audio=514560/768000 | slow=0
    32 | BUFFER |  3/48 | audio=514560/768000 | slow=0
    33 | BUFFER |  3/48 | audio=514560/768000 | slow=0
    34 | BUFFER |  3/48 | audio=514560/768000 | slow=0
    35 | BUFFER |  3/48 | audio=514560/768000 | slow=0
    36 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    37 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    38 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    39 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    40 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    41 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    42 | BUFFER |  4/48 | audio=514560/768000 | slow=0
    43 | BUFFER |  5/48 | audio=514560/768000 | slow=0
    44 | BUFFER |  5/48 | audio=514560/768000 | slow=0
    45 | BUFFER |  5/48 | audio=514560/768000 | slow=0
    46 | BUFFER |  5/48 | audio=514560/768000 | slow=0
    47 | BUFFER |  5/48 | audio=514560/768000 | slow=0
    48 | BUFFER |  6/48 | audio=837120/768000 | slow=0
    49 | BUFFER |  6/48 | audio=1025280/768000 | slow=0
    50 | BUFFER |  6/48 | audio=1025280/768000 | slow=0
    51 | BUFFER |  6/48 | audio=1025280/768000 | slow=0
    52 | BUFFER |  6/48 | audio=1025280/768000 | slow=0
    53 | BUFFER |  6/48 | audio=1025280/768000 | slow=0
